Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-7343-43_Kemet-X_HandSolder,1,100uF,C554014
"C2, C4, C5",0805,3,4.7uF,C1779
C3,0805,1,47uF,C19103846
C6,0805,1,100nF,C49678
D1,D_SOD-123,1,D_Schottky,C8598
J1,USB MG0175M,1,Conn_01x02,
J2,ESP32-C3-SM-SMT,1,Conn_02x08_Odd_Even,
J3,PinSocket_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C30734
J4,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal-Multi,1,Conn_01x02,C131337
Q1,SOT-23,1,DMG2301L,C102619
"R1, R3",0805,2,10k,C2930231
"R2, R4, R5, R6",0805,4,47k,C17713
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder,C143790
U1,SOT-23-5,1,XC6220B331MR,C86534
U2,SOT-23-5,1,MCP73831-2-OT,C424093
U3,SOT-23,1,APX803L,C2067862
