Designator,Mid X,Mid Y,Rotation,Layer
C1,139.0,-97.0,180.0,bottom
C2,140.0,-109.5,0.0,bottom
C3,140.0,-102.5,0.0,bottom
C4,134.5,-88.5,90.0,bottom
C5,141.5,-88.5,90.0,bottom
C6,134.0,-103.83125,180.0,bottom
D1,145.0,-109.5,180.0,bottom
J1,91.0,-100.0,0.0,top
J2,118.5,-103.5,180.0,bottom
J3,103.02,-100.015,0.0,top
J4,148.0,-88.75,180.0,bottom
Q1,145.75,-106.0,270.0,bottom
R1,145.75,-112.0,0.0,bottom
R2,131.5,-99.5,0.0,bottom
R3,138.0,-85.5,180.0,bottom
R4,131.5,-94.5,180.0,bottom
R5,131.5,-97.0,180.0,bottom
R6,134.0,-111.0,180.0,bottom
SW1,209.0,-99.75,270.0,top
U1,140.0,-106.0,270.0,bottom
U2,138.0,-88.5,180.0,bottom
U3,134.0,-107.33125,180.0,bottom
